ADOPTED TERM,EN-US TERM,PT-BR TERM,CHAPTER,ORDER,EN-US DEFINITION,PT-BR DEFINITION
"``raise``, instrução",``raise`` statement,instrução ``raise``,11,13,A statement that (deliberately) raises an exception.,
reatribuição,reassignment,reatribuição,7,1,Assigning a new value to a variable that already exists.,
recursão,recursion,recursão,5,13,The process of calling the function that is currently executing.,
recursão infinita,infinite recursion,recursão infinita,5,15,"A recursion that doesn’t have a base case, or never reaches it. Eventually, an infinite recursion causes a runtime error.",
redução a um problema resolvido,reduction to a previously solved problem,redução a um problema resolvido,9,2,A way of solving a problem by expressing it as an instance of a previously solved problem.,
reduzir,reduce,reduzir,10,6,A processing pattern that traverses a sequence and accumulates the elements into a single result.,
refatoração,refactoring,refatoração,4,7,The process of modifying a working program to improve function interfaces and other qualities of the code.,
referência,reference,referência,10,12,The association between a variable and its value.,
relação É-UM,IS-A relationship,relação É-UM,18,8,A relationship between a child class and its parent class.,
relação TEM-UM,HAS-A relationship,relação TEM-UM,18,9,A relationship between two classes where instances of one class contain references to instances of the other.,
"``return``, instrução",``return`` statement,instrução ``return``,5,12,A statement that causes a function to end immediately and return to the caller.,
reunir,gather,reunir,12,3,The operation of assembling a variable-length argument tuple.,
script,script,-,2,12,A program stored in a file.,
semântica,semantics,semântica,2,18,The meaning of a program.,
sequência de formatação,sequence,sequência de formatação,8,2,An ordered collection of values where each value is identified by an integer index.,
sequência de formatação,format sequence,sequência de formatação,14,4,"A sequence of characters in a format string, like %d, that specifies how a value should be formatted.",
shell,shell,-,14,13,A program that allows users to type commands and then executes them by starting other programs.,
singleton,singleton,-,11,14,A list (or other sequence) with a single element.,
sintaxe,syntax,sintaxe,1,18,The rules that govern the structure of a program.,
sobrecarga de operadores,operator overloading,sobrecarga de operadores,17,6,Changing the behavior of an operator like + so it works with a programmer-defined type.,
sobrepor,override,sobrescrever,13,4,To replace a default value with an argument.,
solução de problemas,problem solving,solução de problemas,1,1,"The process of formulating a problem, finding a solution, and expressing it.",
string,string,“cadeia de caracteres”,1,14,A type that represents sequences of characters.,
string de formatação,format string,string de formatação,14,3,"A string, used with the format operator, that contains format sequences.",
string vazia,empty string,string vazia,8,6,"A string with no characters and length 0, represented by two quotation marks.",
sujeito,subject,sujeito,17,4,The object a method is invoked on.,
