ADOPTED TERM,EN-US TERM,PT-BR TERM,CHAPTER,ORDER,EN-US DEFINITION,PT-BR DEFINITION
cabeçalho,header,cabeçalho,3,4,The first line of a function definition.,A primeira linha da definição da função.
caminho,path,caminho,14,7,A string that identifies a file.,Uma string que identifica um arquivo.
caminho absoluto,absolute path,caminho absoluto,14,9,A path that starts from the topmost directory in the file system.,Um caminho que começa do diretório de nível mais elevado no sistema de arquivos.
caminho relativo,relative path,caminho relativo,14,8,A path that starts from the current directory.,Um caminho que começa do diretório atual.
capturar,catch,capturar,14,10,To prevent an exception from terminating a program using the try and except statements.,Para prevenir uma exceção de terminar um programa usando as declarações try e except.
cardinalidade,multiplicity,"cardinalidade, multiplicidadade",18,12,"A notation in a class diagram that shows, for a HAS-A relationship, how many references there are to instances of another class.","Uma notação em um diagrama de classe que mostra, através de uma relação TEM-A, quantas referências existem para instâncias de outras classes."
caso base,base case,caso base,5,14,A conditional branch in a recursive function that does not make a recursive call.,Uma ramificação condicional em uma função recursiva que não faz uma chamada recursiva.
caso especial,special case,caso especial,9,3,A test case that is atypical or non-obvious (and less likely to be handled correctly).,Um caso de teste que é atípico e nem óbvio (e menos susceptível de ser processado corretamente.
chamada de função,function call,chamada de função,3,7,A statement that runs a function. It consists of the function name followed by an argument list in parentheses.,Um comando que executa uma função. Ele consiste do nome da função seguido por uma lista de argumentos entre parentêses.
chave,key,chave,11,5,An object that appears in a dictionary as the first part of a key-value pair.,Um objeto que aparece em um dicionário como a primeira parte de um par chave-valor.
classe,class,classe,15,1,A programmer-defined type. A class definition creates a new class object.,Um tipo definido pelo programador. Uma definição de classe cria um novo objeto de classe.
classe base,parent class,"classe base, superclasse",18,6,The class from which a child class inherits.,A classe do qual uma classe filha herda.
classe derivada,child class,"classe derivada, subclasse",18,7,"A new class created by inheriting from an existing class, also called a “subclass”.","Uma nova classe criada ao herdar de outra classe existente, também chamada de subclasse."
codificar,encode,codificar,18,1,To represent one set of values using another set of values by constructing a mapping between them.,Representar um conjunto de valores usando um outro conjunto de valores ao construir um mapeamento entre eles.
código morto,dead code,código morto,6,2,"Part of a program that can never run, often because it appears after a return statement.","Parte de um programa que nunca é executado, em geral por aparecer após um comando “return”."
código provisório,scaffolding,"“andaime”, código provisório",6,4,Code that is used during program development but is not part of the final version.,Código que é usado durante o desenvolvimento do programa mas não é parte da versão final.
código provisório,slice,fatia,8,5,A part of a string specified by a range of indices.,A parte de uma string especificada pelo intervalo de índices.
comentário,comment,comentário,2,15,Information in a program that is meant for other programmers (or anyone reading the source code) and has no effect on the execution of the program.,Informação em um programa que é destinada para outros programadores (ou qualquer um que ler o código fonte) e não efeito na execução do programa.
composição,composition,composição,3,18,"Using an expression as part of a larger expression, or a statement as part of a larger statement.","Usar uma expressão como parte de outra expressão maior, ou uma declaração como parte de uma declaração maior."
concatenar,concatenate,concatenar,2,14,To join two operands end-to-end.,Para juntar dois operando de ponta a ponta.
condição,condition,condição,5,7,The boolean expression in a conditional statement that determines which branch runs.,Uma expressão booleana em um comando condicional que determina a ramificação a ser executada.
condicional aninhado,nested conditional,condicional aninhado,5,11,A conditional statement that appears in one of the branches of another conditional statement.,"Uma estrutura de programa dentro de outra, tal como um comando condicional dentro de uma ramificação de um outro comando condicional."
condicional encadeado,chained conditional,condicional encadeado,5,10,A conditional statement with a series of alternative branches.,Uma ramificação condicional com mais do que dois fluxos de execução possíveis.
contador,counter,contador,8,10,"A variable used to count something, usually initialized to zero and then incremented.","Uma variável usada para contar algo, em geral inicializada com zero e incrementada no corpo de um laço."
cópia profunda,deep copy,cópia profunda,15,8,"To copy the contents of an object as well as any embedded objects, and any objects embedded in them, and so on; implemented by the deepcopy function in the copy module.","Para copiar o conteúdo de um objeto, bem como quaisquer objetos incorporados, e dos objetos embutidos neles, e assim por diante; implementado pela função “deepcopy” do módulo “copy”."
cópia rasa,shallow copy,cópia rasa,15,7,"To copy the contents of an object, including any references to embedded objects; implemented by the copy function in the copy module.","Para copiar o conteúdo de um objeto, incluindo quaisquer referências a objetos embutidos; implementada pela função “copy” no módulo “copy”."
corpo,body,corpo,3,5,The sequence of statements inside a function definition.,A sequência de comandos dentro de uma definição de função.
