ADOPTED TERM,EN-US TERM,PT-BR TERM,CHAPTER,ORDER,EN-US DEFINITION,PT-BR DEFINITION
``None``,``None``,-,3,13,A special value returned by void functions.,Um valor especial retornado por procedimentos.
notação assintótica,Big-Oh notation,notação assintótica,B,7,"Notation for representing an order of growth; for example, :math:`O(n)` represents the set of functions that grow linearly.","Notação para representação de uma ordem de crescimento; por exemplo, :math:`O(n)` representa o conjunto de funções que crescem linearmente."
notação de ponto,dot notation,notação de ponto,3,17,The syntax for calling a function in another module by specifying the module name followed by a dot (period) and the function name.,Sintaxe para chamada de uma função em outro módulo utilizando o nome do módulo seguido por um ponto e o nome da função.
objeto,object,objeto,8,1,"Something a variable can refer to. For now, you can use “object” and “value” interchangeably.","Algo a que uma variável possa se referir. Por enquanto, você pode usar “objeto” e “valor” sem distinção."
objeto,object,objeto,10,9,Something a variable can refer to. An object has a type and a value.,Algo a que uma variável possa se referir. Um objeto possui um tipo e um valor.
objeto “pipe”,pipe object,objeto “pipe”,14,14,"An object that represents a running program, allowing a Python program to run commands and read the results.","Um objeto que representa um programa em execução, permitindo que um programa Python execute programas e leia os resultados."
objeto ``bytes``,``bytes`` object,objeto ``bytes``,14,12,An object similar to a string.,Um objeto similar a uma string.
objeto ``zip``,``zip`` object,objeto ``zip``,12,5,The result of calling a built-in function zip; an object that iterates through a sequence of tuples.,O resultado da chamada de uma função nativa zip; um objeto que itera por uma sequencia de tuplas.
objeto embutido,embedded object,objeto embutido,15,6,An object that is stored as an attribute of another object.,Um objeto que é armazenado como um atributo de outro objeto.
objeto-arquivo,file object,objeto-arquivo,9,1,A value that represents an open file.,Um valor que representa um arquivo aberto.
objeto-classe,class object,objeto-classe,15,2,An object that contains information about a programmer-defined type. The class object can be used to create instances of the type.,Um objeto que contém informações sobre um tipo definido pelo programador. O objeto-classe pode ser utilizado para criar instâncias do tipo.
objeto-função,function object,objeto-função,3,3,A value created by a function definition. The name of the function is a variable that refers to a function object.,Um valor criado por uma definição de função. O nome da função é uma variável que referencia um objeto-função.
objeto-módulo,module object,objeto-módulo,3,16,A value created by an import statement that provides access to the values defined in a module.,Um valor criado por uma instrução import que dá acesso aos valores definidos em um módulo.
ocultação de informações,information hiding,ocultação de informações,17,9,"The principle that the interface provided by an object should not depend on its implementation, in particular the representation of its attributes.","Princípio em que a interface disponibilizada por um objeto não deve depender de sua implementação, em particular da representação de seus atributos."
operador,operator,operador,1,9,"A special symbol that represents a simple computation like addition, multiplication, or string concatenation.","Um símbolo especial que representa uma computação simples como adição, multiplicação ou concatenação de string."
operador de formatação,format operator,operador de formatação,14,2,"An operator, %, that takes a format string and a tuple and generates a string that includes the elements of the tuple formatted as specified by the format string.","Um operador, %, que recebe uma string de formatação e uma tupla e gera uma string que inclui os elementos da tupla formatados conforme especificado na string de formatação."
operador de módulo,modulus operator,operador de módulo,5,2,"An operator, denoted with a percent sign (%), that works on integers and returns the remainder when one number is divided by another.","Um operador, denotado por um sinal de porcentagem (%), que atua em inteiros e retorna o resto da divisão de um número por outro."
operador lógico,logical operator,operador lógico,5,5,"One of the operators that combines boolean expressions: and, or, and not.","Um dos operadores que combinam expressões booleanas: and, or e not."
operador relacional,relational operator,operador relacional,5,4,"One of the operators that compares its operands: ==, !=, >, <, >=, and <=.","Um dos operadores que comparam os operandos: ==, !=, >, <, >= e <=."
operando,operand,operando,2,5,One of the values on which an operator operates.,Um dos valores sobre os quais um operador opera.
ordem das operações,order of operations,ordem das operações,2,13,Rules governing the order in which expressions involving multiple operators and operands are evaluated.,Regras que determinam a ordem em que expressões envolvendo múltiplos operadores e operandos são avaliados.
ordem de crescimento,order of growth,ordem de crescimento,B,6,"A set of functions that all grow in a way considered equivalent for purposes of analysis of algorithms. For example, all functions that grow linearly belong to the same order of growth.","Um conjunto de funções que crescem de forma equivalente do ponto de vista da análise de algoritmos. Por exemplo, todas as funções que crescem linearmente pertencem à mesma ordem de crescimento."
