ADOPTED TERM,EN-US TERM,PT-BR TERM,CHAPTER,ORDER,EN-US DEFINITION,PT-BR DEFINITION
generalização,generalization,generalização,4,4,The process of replacing something unnecessarily specific (like a number) with something appropriately general (like a variable or parameter).,
"``global``, declaração",``global`` statement,declaração ``global``,11,18,A statement that declares a variable name global.,
guarda,guardian,guarda,6,5,A programming pattern that uses a conditional statement to check for and handle circumstances that might cause an error.,
hashable,hashable,,11,10,"A type that has a hash function. Immutable types like integers, floats and strings are hashable; mutable types like lists and dictionaries are not.",
herança,inheritance,herança,18,5,The ability to define a new class that is a modified version of a previously defined class.,
idêntico,identical,idêntico,10,11,Being the same object (which implies equivalence).,
implementação,implementation,implementação,11,7,A way of performing a computation.,
"``import``, instrução",``import`` statement,instrução ``import``,3,15,A statement that reads a module file and creates a module object.,
imutável,immutable,imutável,8,7,The property of a sequence whose items cannot be changed.,
incrementar,increment,incrementar,7,4,An update that increases the value of a variable (often by one).,
índice,index,índice,8,4,"An integer value used to select an item in a sequence, such as a character in a string. In Python indices start from 0.",
inicialização,initialization,inicialização,7,3,An assignment that gives an initial value to a variable that will be updated.,
instância,instance,instância,15,3,An object that belongs to a class.,
instanciar,instantiate,instanciar,15,4,To create a new object.,
instrução,statement,instrução,2,8,"A section of code that represents a command or action. So far, the statements we have seen are assignments and print statements.",
instrução composta,compound statement,instrução composta,5,8,A statement that consists of a header and a body. The header ends with a colon (:). The body is indented relative to the header.,
instrução condicional,conditional statement,instrução condicional,5,6,A statement that controls the flow of execution depending on some condition.,
inteiro,integer,inteiro,1,12,A type that represents whole numbers.,
interpretador,interpreter,interpretador,1,5,A program that reads another program and executes it,
invariante,invariant,invariante,16,6,A condition that should always be true during the execution of a program.,
invocação,invocation,invocação,8,11,A statement that calls a method.,
item,item,item,8,3,One of the values in a sequence.,
item,item,item,11,4,"In a dictionary, another name for a key-value pair.",
iteração,iteration,iteração,7,6,Repeated execution of a set of statements using either a recursive function call or a loop.,
iterador,iterator,iterador,12,6,"An object that can iterate through a sequence, but which does not provide list operators and methods.",
