ADOPTED TERM,EN-US TERM,PT-BR TERM,CHAPTER,ORDER,EN-US DEFINITION,PT-BR DEFINITION
palavra-chave,keyword,palavra-chave,2,4,"A reserved word that is used to parse a program; you cannot use keywords like if, def, and while as variable names.","Uma palavra reservada que é usada para analisar um programa; você não pode usar palavras-chave como por exemplo if, def, e while como nomes de variáveis.",
par chave-valor,key-value pair,par chave-valor,11,3,The representation of the mapping from a key to a value.,A representação do mapeamento a partir de uma chave para um determinado valor.
parâmetro,parameter,parâmetro,3,6,A name used inside a function to refer to the value passed as an argument.,Um nome usado dentro de uma função para se referir a um valor passado como um argumento.
percorrer,traverse,percorrer,8,8,"To iterate through the items in a sequence, performing a similar operation on each.",Percorrer os items em uma sequência, realizando uma operação similar em cada item.
persistente,persistent,persistente,14,1,Pertaining to a program that runs indefinitely and keeps at least some of its data in permanent storage.,Refere-se a um programa que é executado indefinidamente e mantém ao menos alguns dos seus dados em armazenamento permanente.
pior caso,worst case,pior caso,B,3,The input that makes a given algorithm run slowest (or require the most space.,Uma entrada que faz com que um determinado algoritmo execute de maneira mais lenta (ou exige mais espaço).
plano de desenvolvimento,development plan,plano de desenvolvimento,4,8,A process for writing programs.,Processo para escrever programas.
polimórfico,polymorphic,polimórfico,17,8,Pertaining to a function that can work with more than one type.,Refere-se a uma função que pode lidar com mais de um tipo.
ponto de cruzamento,crossover point,ponto de cruzamento,B,5,The problem size where two algorithms require the same run time or space.,Um problema que ocorre quando dois algoritmos requerem o mesmo tempo de execução ou espaço.
ponto-flutuante,floating-point,ponto-flutuante,1,13,A type that represents numbers with fractional parts.,Um tipo que representa números em partes fracionadas.
portabilidade,portability,portabilidade,1,4,A property of a program that can run on more than one kind of computer.,Propriedade de um programa que pode ser executado em mais de um tipo de computador.
pós-condição,postcondition,pós-condição,4,11,A requirement that should be satisfied by the function before it ends.,Requisito que deve ser satisfeito pela função antes que esta termine.
pré-condição,precondition,pré-condição,4,10,A requirement that should be satisfied by the caller before a function starts.,Um requisito que deve ser satisfeito por quem a chamou, antes desta função iniciar. 
"``print``, instrução",``print`` statement,instrução ``print``,1,8,An instruction that causes the Python interpreter to display a value on the screen.,Uma instrução que faz com que o interpretador Python mostre um determinado valor na tela.
procedimento,void function,“função nula” ou procedimento,3,12,A function that always returns None.,Uma função que sempre retorna vazio
programação funcional,program,programação funcional,1,7,A set of instructions that specifies a computation.,Um conjunto de instruções que especifica um cálculo.
programação funcional,functional programming style,programação funcional,16,5,A style of program design in which the majority of functions are pure.,Um estilo de programação em que a maioria das funções são puras.
programação orientada a objetos,object-oriented programming,programação orientada a objetos,17,2,A style of programming in which data and the operations that manipulate it are organized into classes and methods.,Um estilo de programação em que dados e as operações que os manipulam são organizados em classes e métodos.
prompt,prompt,“sinal de pronto”,1,6,Characters displayed by the interpreter to indicate that it is ready to take input from the user.,Caracteres exibidos pelo interpretador para indicar que ele está pronto para receber a entrada do usuário.
prototipar e ajustar,prototype and patch,prototipar e ajustar,16,1,"A development plan that involves writing a rough draft of a program, testing, and correcting errors as they are found.",Um plano de desenvolvimento que envolve escrever um esboço de um programa, testar, e corrigir os erros assim que eles forem encontrados.
pseudo-aleatório,pseudorandom,pseudo-aleatório,13,2,"Pertaining to a sequence of numbers that appears to be random, but is generated by a deterministic program.",Uma sequência de números que parecem ser aleatórios, mas na verdade são gerados por uma programa com sequência determinística.
quadrático,quadratic,quadrático,B,9,"An algorithm whose run time is proportional to :math:`n^2`, where :math:`n` is a measure of problem size.",Um algoritmo cujo tempo de execução é proporcional a: mat: `n^2`, aonde mat:`n`, é uma medida de tamanho do problema.
